year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2013,9,AS,Alaska Airlines Inc.,PSG,"Petersburg, AK: Petersburg James A Johnson",60.00,13.00,2.03,2.35,1.31,0.76,6.55,2.00,0.00,767.00,115.00,149.00,52.00,16.00,435.00
2013,9,AS,Alaska Airlines Inc.,WRG,"Wrangell, AK: Wrangell Airport",60.00,11.00,1.20,1.71,1.55,0.00,6.54,0.00,2.00,697.00,39.00,122.00,41.00,0.00,495.00
2013,9,AS,Alaska Airlines Inc.,OAK,"Oakland, CA: Metropolitan Oakland International",194.00,16.00,5.04,0.00,6.80,0.00,4.16,0.00,0.00,606.00,214.00,0.00,149.00,0.00,243.00
2013,9,AS,Alaska Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",146.00,20.00,7.75,0.64,8.68,0.00,2.93,0.00,0.00,660.00,326.00,29.00,227.00,0.00,78.00
2013,9,AS,Alaska Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",352.00,97.00,15.27,6.96,62.83,0.00,11.94,0.00,0.00,6429.00,1164.00,416.00,3735.00,0.00,1114.00
2013,9,AS,Alaska Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",319.00,35.00,10.11,0.69,17.53,0.00,6.67,0.00,0.00,1289.00,519.00,36.00,423.00,0.00,311.00
2013,9,AS,Alaska Airlines Inc.,SAN,"San Diego, CA: San Diego International",456.00,55.00,15.71,2.32,25.30,0.00,11.67,1.00,1.00,2427.00,1073.00,73.00,693.00,0.00,588.00
2013,9,AS,Alaska Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",286.00,18.00,4.84,0.00,11.88,0.00,1.28,0.00,0.00,533.00,207.00,0.00,272.00,0.00,54.00
2013,9,AS,Alaska Airlines Inc.,BUR,"Burbank, CA: Bob Hope",86.00,8.00,2.50,0.53,4.35,0.00,0.62,1.00,0.00,264.00,88.00,27.00,116.00,0.00,33.00
2013,9,AS,Alaska Airlines Inc.,ONT,"Ontario, CA: Ontario International",86.00,14.00,3.30,0.61,7.39,0.00,2.70,0.00,0.00,356.00,91.00,14.00,183.00,0.00,68.00
2013,9,AS,Alaska Airlines Inc.,PSP,"Palm Springs, CA: Palm Springs International",82.00,20.00,3.52,0.00,5.28,0.00,11.21,0.00,0.00,1300.00,201.00,0.00,173.00,0.00,926.00
2013,9,AS,Alaska Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",403.00,48.00,14.68,4.54,20.95,0.00,7.83,0.00,0.00,2219.00,956.00,308.00,545.00,0.00,410.00
2013,9,AS,Alaska Airlines Inc.,BLI,"Bellingham, WA: Bellingham International",43.00,3.00,0.00,0.00,2.08,0.00,0.92,0.00,2.00,96.00,0.00,0.00,73.00,0.00,23.00
2013,9,AS,Alaska Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",180.00,44.00,16.93,0.81,23.90,0.00,2.36,0.00,1.00,1479.00,755.00,29.00,618.00,0.00,77.00
2013,9,AS,Alaska Airlines Inc.,TUS,"Tucson, AZ: Tucson International",30.00,4.00,1.53,0.00,2.47,0.00,0.00,0.00,0.00,153.00,86.00,0.00,67.00,0.00,0.00
2013,9,AS,Alaska Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",105.00,4.00,1.64,1.00,1.36,0.00,0.00,0.00,0.00,138.00,69.00,30.00,39.00,0.00,0.00
2013,9,AS,Alaska Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",30.00,4.00,0.90,0.00,3.10,0.00,0.00,0.00,0.00,201.00,99.00,0.00,102.00,0.00,0.00
2013,9,AS,Alaska Airlines Inc.,DEN,"Denver, CO: Denver International",123.00,25.00,4.20,0.91,18.97,0.00,0.92,0.00,1.00,806.00,115.00,29.00,589.00,0.00,73.00
2013,9,AS,Alaska Airlines Inc.,SAT,"San Antonio, TX: San Antonio International",30.00,10.00,0.50,0.00,9.06,0.00,0.44,0.00,0.00,224.00,20.00,0.00,197.00,0.00,7.00
2013,9,AS,Alaska Airlines Inc.,GEG,"Spokane, WA: Spokane International",90.00,10.00,5.81,0.00,4.19,0.00,0.00,0.00,0.00,323.00,159.00,0.00,164.00,0.00,0.00
2013,9,AS,Alaska Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",60.00,4.00,1.00,0.64,2.36,0.00,0.00,0.00,0.00,90.00,20.00,16.00,54.00,0.00,0.00
2013,9,AS,Alaska Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",30.00,2.00,0.38,0.25,1.08,0.00,0.29,0.00,0.00,53.00,11.00,6.00,29.00,0.00,7.00
2013,9,AS,Alaska Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",60.00,6.00,3.98,0.00,1.02,0.00,1.00,0.00,0.00,231.00,158.00,0.00,17.00,0.00,56.00
2013,9,AS,Alaska Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International",30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2013,9,AS,Alaska Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",30.00,9.00,2.36,0.00,5.73,0.00,0.91,0.00,0.00,228.00,86.00,0.00,121.00,0.00,21.00
2013,9,AS,Alaska Airlines Inc.,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",60.00,3.00,1.40,0.00,1.60,0.00,0.00,0.00,0.00,216.00,187.00,0.00,29.00,0.00,0.00
2013,9,AS,Alaska Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",180.00,10.00,2.96,0.00,2.42,0.00,4.62,0.00,0.00,387.00,163.00,0.00,56.00,0.00,168.00
2013,9,AS,Alaska Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",184.00,10.00,3.50,0.00,5.62,0.00,0.88,0.00,1.00,490.00,339.00,0.00,136.00,0.00,15.00
2013,9,AS,Alaska Airlines Inc.,LIH,"Lihue, HI: Lihue Airport",77.00,5.00,2.58,0.00,2.42,0.00,0.00,0.00,0.00,115.00,57.00,0.00,58.00,0.00,0.00
2013,9,AS,Alaska Airlines Inc.,OME,"Nome, AK: Nome Airport",60.00,14.00,3.07,0.82,2.07,1.95,6.09,0.00,0.00,491.00,88.00,18.00,58.00,42.00,285.00
2013,9,AS,Alaska Airlines Inc.,OTZ,"Kotzebue, AK: Ralph Wien Memorial",60.00,6.00,2.46,0.00,1.27,0.00,2.27,0.00,0.00,265.00,109.00,0.00,28.00,0.00,128.00
2013,9,AS,Alaska Airlines Inc.,ADK,"Adak Island, AK: Adak",9.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2013,9,B6,JetBlue Airways,MCO,"Orlando, FL: Orlando International",1264.00,156.00,64.10,1.64,28.72,2.00,59.54,3.00,3.00,10185.00,4580.00,174.00,1201.00,195.00,4035.00
